jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
342	8	0.85	19.9	2.3239836851314544	0	156.9	18.365000000000002	2.111121287053181	77.449262658755	399	18.733333333333334	18.733333333333334	18.733333333333334	10	1	-999	-999
342	8.5	0.85	20.7	2.4417368933509587	0	172.2	19.8975	2.3231861758716104	77.449262658755	399	19.211666666666666	19.211666666666666	19.211666666666666	10	1	-999	-999
342	9	0.85	18.1	2.068317121420151	0	179.4	19.6425	2.279184825229208	77.449262658755	399	19.34	19.34	19.34	10	1	-999	-999
342	9.5	0.85	19.3	2.2308804030985807	0	220.4	19.14	2.2085919685384616	77.449262658755	399	19.331666666666667	19.331666666666667	19.331666666666667	10	1	-999	-999
342	10	0.85	19.3	2.231778593497413	0	493.2	19.585	2.271965003261021	77.449262658755	399	16.259999999999998	16.259999999999998	16.259999999999998	10	1	-999	-999
342	10.5	0.85	19.1	2.206136008828314	0	465.8	19.4775	2.2589211856062095	77.449262658755	399	15.235	15.235	15.235	10	1	-999	-999
342	11	0.85	20.3	2.3781613797195993	0	506.8	20.4675	2.4030180940842327	77.449262658755	399	16.006666666666668	16.006666666666668	16.006666666666668	10	1	-999	-999
342	11.5	0.85	20	2.3349074322344934	0	399.2	21.2725	2.5263697688778524	77.449262658755	399	17.341666666666665	17.341666666666665	17.341666666666665	10	1	-999	-999
342	12	0.85	14.4	1.6396592682357172	0	485.8	22.8325	2.7847606524717143	77.449262658755	399	18.926666666666666	18.926666666666666	18.926666666666666	10	1	-999	-999
342	12.5	0.85	14.6	1.6611546300355615	0	436.6	21.7225	2.602467406166794	77.449262658755	399	18.631666666666668	18.631666666666668	18.631666666666668	10	1	-999	-999
342	13	0.85	20.1	2.3505856453867078	0	524.5	23.182499999999997	2.8405195760342785	77.449262658755	399	18.643333333333334	18.643333333333334	18.643333333333334	10	1	-999	-999
342	13.5	0.85	12.6	1.4572502318407092	0	341.3	23.705	2.935597607603454	77.449262658755	399	19.093333333333334	19.093333333333334	19.093333333333334	10	1	-999	-999
342	14	0.85	15.6	1.7702639118409358	0	325	24.1825	3.019878499775032	77.449262658755	399	19.458333333333332	19.458333333333332	19.458333333333332	10	1	-999	-999
342	14.5	0.85	15.9	1.8053022998082418	0	266.5	23.01	2.813856423265788	77.449262658755	399	19.046666666666667	19.046666666666667	19.046666666666667	10	1	-999	-999
342	15	0.85	15.5	1.7596605824556768	0	271.2	20.955	2.481604332523081	77.449262658755	399	18.511666666666667	18.511666666666667	18.511666666666667	10	1	-999	-999
342	15.5	0.85	15.3	1.7372222059334397	0	181.3	19.6725	2.292072435472652	77.449262658755	399	19.006666666666668	19.006666666666668	19.006666666666668	10	1	-999	-999
342	16	0.85	15	1.7040359037767314	0	46.59	20.83	2.4627889581368816	77.449262658755	399	20.175	20.175	20.175	10	1	-999	-999
342	16.5	0.85	14.8	1.6820535215127543	0	122.9	23.05	2.821081524437004	77.449262658755	399	21.651666666666667	21.651666666666667	21.651666666666667	10	1	-999	-999
342	17	0.85	14.8	1.6828977563659528	0	117.4	19.6925	2.2958530355109943	77.449262658755	399	19.141666666666666	19.141666666666666	19.141666666666666	10	1	-999	-999
342	17.5	0.85	14.7	1.6722467129356888	0	118.5	19.2675	2.2360148903822257	77.449262658755	399	18.663333333333334	18.663333333333334	18.663333333333334	10	1	-999	-999
342	18	0.85	14.7	1.6722467129356888	0	116.9	17.18	1.9605522586643631	77.449262658755	399	18.196666666666665	18.196666666666665	18.196666666666665	10	1	-999	-999
342	18.5	0.85	15.3	1.7382684102128334	0	119.5	17.5075	2.001609030647228	77.449262658755	399	18.191666666666666	18.191666666666666	18.191666666666666	10	1	-999	-999
342	19	0.85	15.8	1.79469571259388	0	111.3	18.89	2.1833412629559974	77.449262658755	399	18.6	18.6	18.6	10	1	-999	-999
342	19.5	0.85	16.1	1.8297952676734417	0	0.022	18.68	2.155003524420204	77.449262658755	399	18.646666666666665	18.646666666666665	18.646666666666665	10	1	-999	-999
342	20	0.85	14.6	1.6613213122179853	9.08808933002482	0	21.619999999999997	2.5863321734611273	77.449262658755	399	19.266666666666666	19.266666666666666	19.266666666666666	10	1	-999	-999
342	20.5	0.85	15	1.7045490130521834	0	0.011	19.5225	2.2714052492365755	77.449262658755	399	18.435	18.435	18.435	10	1	-999	-999
342	21	0.85	15.3	1.7379196754530355	0	0	20.825	2.462576782715323	77.449262658755	399	18.336666666666666	18.336666666666666	18.336666666666666	10	1	-999	-999
342	21.5	0.85	18.3	2.103524818927701	0	0	19.835	2.315632276072278	77.449262658755	399	18.108333333333334	18.108333333333334	18.108333333333334	10	1	-999	-999
342	22	0.85	20.8	2.457802897192324	0	0	18.625	2.146423638131913	77.449262658755	399	18.123333333333335	18.123333333333335	18.123333333333335	10	1	-999	-999
342	22.5	0.85	21.1	2.503302095042676	0	0	17.7575	2.0317968292946627	77.449262658755	399	18.196666666666665	18.196666666666665	18.196666666666665	10	1	-999	-999
342	23	0.85	20.6	2.426980996067478	0	0	17.7075	2.025149574766927	77.449262658755	399	18.24	18.24	18.24	10	1	-999	-999
342	23.5	0.85	20.5	2.412544760973346	0	0.022	17.3875	1.9850267015961505	77.449262658755	399	18.221666666666668	18.221666666666668	18.221666666666668	10	1	-999	-999
343	0	0.85	14.8	1.6820535215127543	0	0.011	17.119999999999997	1.9520383215905055	77.449262658755	399	18.181666666666665	18.181666666666665	18.181666666666665	10	1	-999	-999
343	0.5	0.85	14.4	1.639165642766103	0	0	17.1425	1.9550297157866545	77.449262658755	399	18.211666666666666	18.211666666666666	18.211666666666666	10	1	-999	-999
343	1	0.85	14.5	1.6501277167810282	0	0	17.3575	1.9821835957949605	77.449262658755	399	18.29	18.29	18.29	10	1	-999	-999
343	1.5	0.85	14.5	1.6502933257449768	0	0.022	17.6925	2.024862604383321	77.449262658755	399	18.35	18.35	18.35	10	1	-999	-999
343	2	0.85	20.8	2.456570915790223	0	0	17.845	2.0422419759990507	77.449262658755	399	18.458333333333332	18.458333333333332	18.458333333333332	10	1	-999	-999
343	2.5	0.85	20.9	2.47173132782378	0	0.011	18.8925	2.1814689812139143	77.449262658755	399	18.686666666666667	18.686666666666667	18.686666666666667	10	1	-999	-999
343	3	0.85	20.4	2.397702192823551	0	0	20.755	2.450938696483507	77.449262658755	399	18.801666666666666	18.801666666666666	18.801666666666666	10	1	-999	-999
343	3.5	0.85	20.3	2.3836564281155757	0	0	20.593333333333334	2.427335214040374	77.449262658755	399	18.673333333333332	18.673333333333332	18.673333333333332	10	1	-999	-999
343	4	0.85	20.9	2.4744584135415395	0	0	20.07	2.350603234741416	77.449262658755	399	18.558333333333334	18.558333333333334	18.558333333333334	10	1	-999	-999
343	4.5	0.85	21.4	2.5518368163820533	0	0	19.57	2.2786835225502786	77.449262658755	399	18.461666666666666	18.461666666666666	18.461666666666666	10	1	-999	-999
343	5	0.85	21.8	2.6155725253722832	0	0	18.502499999999998	2.131806123694294	77.449262658755	399	18.253333333333334	18.253333333333334	18.253333333333334	10	1	-999	-999
343	5.5	0.85	20.5	2.4147217113291473	0	120.7	17.89	2.051377521559782	77.449262658755	399	18.056666666666665	18.056666666666665	18.056666666666665	10	1	-999	-999
343	6	0.85	21	2.4899669673610196	0	121.3	16.95	1.9323301976912675	77.449262658755	399	18.016666666666666	18.016666666666666	18.016666666666666	10	1	-999	-999
343	6.5	0.85	21.1	2.5050589743955234	0	121.3	20.7775	2.4557449743546367	77.449262658755	399	18.621666666666666	18.621666666666666	18.621666666666666	10	1	-999	-999
343	7	0.85	20.7	2.443940848023525	0	121.5	18.697499999999998	2.1574930834011	77.449262658755	399	18.28333333333333	18.28333333333333	18.28333333333333	10	1	-999	-999
343	7.5	0.85	20.9	2.473962579774674	0	133.3	17.302500000000002	1.9753817765360513	77.449262658755	399	18.263333333333335	18.263333333333335	18.263333333333335	10	1	-999	-999
343	8	0.85	20.7	2.441492009498451	0	156.9	17.9625	2.057526169594669	77.449262658755	399	19.028333333333332	19.028333333333332	19.028333333333332	10	1	-999	-999
343	8.5	0.85	21.2	2.5174528108591274	0	174.4	21.6425	2.5868942768846868	77.449262658755	399	19.875	19.875	19.875	10	1	-999	-999
343	9	0.85	20.4	2.3965002165889295	0	181.2	20.5	2.4113932784055065	77.449262658755	399	19.761666666666667	19.761666666666667	19.761666666666667	10	1	-999	-999
343	9.5	0.85	19.1	2.212567245685574	0	221	19.345	2.246701194923197	77.449262658755	399	19.79	19.79	19.79	10	1	-999	-999
343	10	0.85	20	2.3393633624486814	0	450.5	17.67	2.0213691530184525	77.449262658755	399	16.798333333333332	16.798333333333332	16.798333333333332	10	1	-999	-999
343	10.5	0.85	18.9	2.1853437774975983	0	446.4	19.3375	2.2459535842790923	77.449262658755	399	15.575	15.575	15.575	10	1	-999	-999
